,<built-in function id>,hits
0,33458,1.0
1,33459,1.0
2,33460,1.0
3,33461,1.0
4,33462,1.0
5,33463,1.0
6,33464,0.0
7,33465,1.0
8,33466,1.0
9,33467,1.0
10,33468,0.0
11,33469,1.0
12,33470,1.0
13,33471,1.0
14,33472,1.0
15,33473,1.0
16,33474,1.0
17,33475,1.0
18,33476,1.0
19,33477,1.0
20,33478,1.0
21,33479,0.0
22,33480,1.0
23,33481,1.0
24,33482,1.0
25,33483,1.0
26,33484,1.0
27,33485,0.0
28,33486,1.0
29,33487,0.0
30,33488,0.0
31,33489,1.0
32,33490,1.0
33,33491,1.0
34,33492,1.0
35,33493,1.0
36,33494,0.0
37,33495,0.0
38,33496,1.0
39,33497,1.0
40,33498,1.0
41,33499,1.0
42,33500,1.0
43,33501,1.0
44,33502,1.0
45,33503,0.0
46,33504,1.0
47,33505,1.0
48,33506,0.0
49,33507,0.0
50,33508,1.0
51,33509,1.0
52,33510,1.0
53,33511,1.0
54,33512,0.0
55,33513,1.0
56,33514,1.0
57,33515,1.0
58,33516,1.0
59,33517,1.0
60,33518,1.0
61,33519,1.0
62,33520,1.0
63,33521,1.0
64,33522,1.0
65,33523,0.0
66,33524,0.0
67,33525,0.0
68,33526,1.0
69,33527,0.0
70,33528,1.0
71,33529,1.0
72,33530,1.0
73,33531,1.0
74,33532,0.0
75,33533,0.0
76,33534,1.0
77,33535,0.0
78,33536,1.0
79,33537,0.0
80,33538,1.0
81,33539,1.0
82,33540,1.0
83,33541,1.0
84,33542,1.0
85,33543,1.0
86,33544,1.0
87,33545,0.0
88,33546,0.0
89,33547,0.0
90,33548,1.0
91,33549,1.0
92,33550,0.0
93,33551,1.0
94,33552,1.0
95,33553,1.0
96,33554,1.0
97,33555,1.0
98,33556,1.0
99,33557,1.0
100,33558,1.0
101,33559,1.0
102,33560,1.0
103,33561,1.0
104,33562,1.0
105,33563,1.0
106,33564,1.0
107,33565,1.0
108,33566,1.0
109,33567,1.0
110,33568,1.0
111,33569,1.0
112,33570,0.0
113,33571,1.0
114,33572,1.0
115,33573,0.0
116,33574,0.0
117,33575,1.0
118,33576,1.0
119,33577,1.0
120,33578,1.0
121,33579,1.0
122,33580,1.0
123,33581,1.0
124,33582,1.0
125,33583,0.0
126,33584,1.0
127,33585,1.0
128,33586,1.0
129,33587,1.0
130,33588,1.0
131,33589,1.0
132,33590,1.0
133,33591,1.0
134,33592,1.0
135,33593,1.0
136,33594,1.0
137,33595,0.0
138,33596,0.0
139,33597,0.0
140,33598,0.0
141,33599,1.0
142,33600,1.0
143,33601,1.0
144,33602,1.0
145,33603,1.0
146,33604,0.0
147,33605,1.0
148,33606,1.0
149,33607,1.0
150,33608,1.0
151,33609,1.0
152,33610,0.0
153,33611,0.0
154,33612,1.0
155,33613,1.0
156,33614,0.0
157,33615,0.0
158,33616,1.0
159,33617,0.0
160,33618,0.0
161,33619,1.0
162,33620,1.0
163,33621,1.0
164,33622,0.0
165,33623,0.0
166,33624,1.0
167,33625,1.0
168,33626,1.0
169,33627,1.0
170,33628,0.0
